nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
Ramirez,Casey,0.9649122807017544,-0.9103444590547988,0.46691176470588236,H,non,master,Occitanie,oui,0.06818181818181819,célibataire,,0.11,0.5737704918032785,0.1705798321348693,0.3235140695234979
Hill,Phillip,0.45614035087719296,-0.18453704742604174,0.5600490196078433,H,non,bac,Île-de-France,oui,0.9062261268143622,célibataire,0.4,0.79,,1.0,0.8155727332033135
Hernandez,Martin,0.9298245614035087,-0.9921255758580374,0.19975490196078427,H,non,doctorat,Auvergne-Rhône-Alpes,oui,0.6287242169595111,célibataire,0.0,0.13,,0.5190110867944494,0.4466707927447365
Miller,Michael,0.7719298245614034,-0.8285633422515574,0.7169117647058825,F,oui,bac,Auvergne-Rhône-Alpes,oui,0.533040488922842,divorcé,,0.32,,1.0,0.3962993219350941
Walker,Matthew,0.0,0.8172816334136531,0.5931372549019608,F,oui,bac,Corse,oui,0.6480137509549274,célibataire,,0.66,,,0.25400603401183935
Haney,Jacob,0.8245614035087719,0.9706212274197287,0.39583333333333337,F,non,bac,Occitanie,non,0.3966768525592055,veuf,,0.58,,0.5190110867944494,0.0
Alexander,Christopher,0.07017543859649122,0.08125158218449156,0.3884803921568628,F,non,master,Bretagne,oui,0.04087089381207028,célibataire,0.0,0.46,0.8597449908925318,0.1053192563911402,0.0
Walsh,Nicole,0.631578947368421,-0.0005295346187498973,0.3933823529411765,H,oui,aucun,Île-de-France,oui,0.40660809778456836,marié,,0.22,,1.0,0.0
Flores,Mark,0.7543859649122807,0.5310477246023109,0.35906862745098045,H,oui,doctorat,Corse,oui,0.2047364400305577,divorcé,,0.85,0.10200364298724951,0.5190110867944494,0.10209387520629469
Fernandez,Justin,0.17543859649122806,-0.8592312610527736,0.6372549019607844,F,oui,master,Hauts-de-France,oui,0.0,célibataire,0.4,0.66,0.10200364298724951,1.0,0.0
Liu,Michael,0.17543859649122806,1.2057419382290457,0.6360294117647058,F,non,master,Bretagne,oui,0.4482429335370512,marié,,0.37,0.5664845173041894,0.08788918015439745,0.5696787615105134
Young,Lisa,0.10526315789473684,-0.09253329102239581,0.4767156862745098,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,0.5614973262032086,marié,0.4,0.14,0.6065573770491802,,0.4490895352508807
Smith,Jose,0.42105263157894735,0.019915744582059015,0.29656862745098045,F,oui,bac+2,Bretagne,oui,0.7654698242933538,célibataire,,0.33,,0.11799716216541209,0.20357467765586423
Wilson,Dennis,0.6140350877192983,-1.2068010074665454,0.6752450980392157,F,oui,doctorat,Hauts-de-France,oui,0.07352941176470588,,0.6000000000000001,0.48,0.13661202185792343,0.5190110867944494,0.3034868407281839
Taylor,Jeffery,0.6842105263157895,-1.1352425302637086,0.3443627450980392,H,oui,master,Île-de-France,oui,0.49923605805958743,célibataire,0.8,0.5,0.6302367941712202,1.0,0.4997134164289162
Warren,Alexander,0.07017543859649122,-1.4828122766774803,0.6838235294117647,H,oui,master,Occitanie,oui,0.19117647058823528,marié,,0.1,,1.0,0.40393680345135186
Farmer,Angela,0.4736842105263158,1.839545593454157,0.7156862745098038,F,non,bac,Occitanie,oui,0.2559205500381971,célibataire,0.4,0.52,0.24408014571948988,0.0953560520430004,0.0
Scott,Tara,0.33333333333333337,-0.5525520730406225,0.8075980392156863,H,oui,aucun,Auvergne-Rhône-Alpes,non,0.29602750190985483,marié,1.0,0.5,0.6083788706739527,,0.0
Moreno,Dennis,0.29824561403508765,0.06080630298367975,0.6629901960784315,F,non,aucun,Provence-Alpes-Côte d’Azur,non,0.6514514896867838,divorcé,0.6000000000000001,0.67,,,0.0
Stewart,Emily,0.2807017543859649,-1.237468926267759,0.547794117647059,F,non,aucun,Île-de-France,oui,0.6342627960275019,marié,1.0,0.04,,0.14786945960895603,0.0
Montes,Joseph,0.19298245614035092,-0.4809935958377855,0.6102941176470589,H,non,doctorat,Auvergne-Rhône-Alpes,oui,0.0,marié,,0.5,,0.1270888146028234,0.42526252649824847
Torres,Victoria,0.10526315789473684,-0.06186537222117954,0.35539215686274517,F,non,aucun,Bretagne,non,0.528838808250573,célibataire,,0.45,,,0.0
Ramirez,Peggy,0.9824561403508772,-1.523702835079101,0.44362745098039225,H,non,bac+2,Normandie,oui,0.0,veuf,0.4,0.22,,,0.0
Murphy,Lori,0.6140350877192983,1.1955192986286383,0.33700980392156865,H,oui,master,Île-de-France,oui,0.4396485867074102,marié,,0.01,,0.5190110867944494,0.5416617031673422
Harrington,Tommy,0.7017543859649124,1.1955192986286383,0.3651960784313726,F,oui,bac+2,Corse,oui,0.06340718105423988,marié,,0.51,0.7085610200364297,,0.5793890429951847
Becker,Norma,0.24561403508771928,-0.29698608303049656,0.5796568627450981,H,non,doctorat,Île-de-France,non,0.7897249809014515,célibataire,1.0,0.8,,1.0,0.037987708408726395
Brown,Nicholas,0.5789473684210525,-1.7486009062880108,0.5073529411764706,F,oui,master,Provence-Alpes-Côte d’Azur,non,0.0,divorcé,0.8,0.96,,1.0,0.0
Crosby,Nicole,0.07017543859649122,0.030138384182466376,0.6727941176470589,H,non,aucun,Hauts-de-France,oui,0.07639419404125287,,0.6000000000000001,0.14,,,0.0
Watts,Michael,0.7017543859649124,0.27548173459218495,0.5784313725490198,F,oui,bac,Provence-Alpes-Côte d’Azur,non,0.6403743315508021,marié,0.4,0.4,0.6484517304189436,1.0,0.0
Moore,Deborah,0.543859649122807,0.46971188699988126,0.5,H,non,master,Provence-Alpes-Côte d’Azur,oui,0.32524828113063403,marié,,0.8,,0.12135542675741323,0.4153711794570612
Smith,Molly,0.8421052631578948,-1.3396953222718093,0.545343137254902,H,non,doctorat,Corse,non,0.22383498854087086,célibataire,1.0,0.12,0.5828779599271402,,0.0
Grimes,Joseph,0.9298245614035087,-0.05164273262077509,0.4240196078431373,H,non,master,Auvergne-Rhône-Alpes,oui,0.3374713521772345,,,0.12,0.9435336976320582,1.0,0.6983536509739183
Hogan,William,0.45614035087719296,-0.3889898394341425,0.33333333333333337,F,oui,aucun,Auvergne-Rhône-Alpes,oui,0.35332314744079446,,0.8,0.08,,1.0,0.30003221779666484
Moore,Mallory,0.17543859649122806,1.0728476234237792,0.5379901960784313,H,oui,master,Île-de-France,non,0.3212375859434683,marié,0.6000000000000001,0.02,,1.0,0.46129444794870744
Herman,Angela,0.26315789473684215,1.4408626490383598,0.4779411764705883,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,0.0807868601986249,veuf,0.6000000000000001,0.57,,,0.0
Miles,Tracy,0.49122807017543857,1.0217344254217537,0.627450980392157,F,non,master,Hauts-de-France,non,0.32734912146676853,,0.6000000000000001,0.86,0.29872495446265934,1.0,0.0
Sharp,Patricia,0.5964912280701754,-0.31743136223130547,0.4558823529411766,F,non,bac,Corse,non,0.2786478227654698,,1.0,0.5,,0.5190110867944494,0.0
Howard,Timothy,0.21052631578947367,1.5021984866407894,0.6556372549019609,F,non,bac,Occitanie,oui,0.41768525592055,célibataire,,0.65,,0.5190110867944494,0.0
Brown,Michael,0.15789473684210525,1.4204173698375508,0.3848039215686275,H,oui,aucun,Auvergne-Rhône-Alpes,non,0.2459893048128342,marié,,0.9,0.2932604735883424,1.0,0.0
Harrison,Amy,0.3508771929824561,1.2466324966306634,0.778186274509804,F,oui,master,Corse,non,0.31035141329258975,divorcé,,0.93,0.8852459016393442,1.0,0.0
Mueller,Meghan,0.10526315789473684,0.2959270137929968,0.16421568627450978,F,non,bac+2,Île-de-France,oui,0.1697860962566845,célibataire,0.2,0.6,,0.11432336884634808,0.02215314209298559
Conley,Jeffrey,0.22807017543859642,-1.871272581492873,0.5330882352941178,F,oui,aucun,Corse,oui,0.4488158899923606,marié,,0.89,,1.0,0.0
Diaz,John,0.21052631578947367,-1.70771034788639,0.4509803921568628,F,oui,master,Corse,non,0.25,veuf,0.8,0.28,0.8433515482695809,0.5190110867944494,0.0
Lee,Keith,0.10526315789473684,0.1221421405861094,0.6262254901960784,H,oui,master,Auvergne-Rhône-Alpes,non,0.7391138273491215,marié,,0.15,0.9180327868852459,1.0,0.1895291352529351
Martin,Melanie,0.03508771929824561,-0.9001218194543944,0.10294117647058826,F,oui,master,Bretagne,oui,0.8170359052711994,,0.0,0.4,,,0.7130417947592117
Contreras,Wesley,0.9473684210526315,0.15281005938732567,0.8321078431372548,H,non,doctorat,Île-de-France,oui,0.04297173414820475,veuf,,0.8,,1.0,0.4634757648843968
Morales,Tina,0.017543859649122806,-0.072088011821584,0.6213235294117648,F,non,aucun,Île-de-France,non,0.3101604278074866,célibataire,,0.53,0.384335154826958,0.5190110867944494,0.0
Curtis,Devin,0.543859649122807,-1.0227934946592536,0.5281862745098039,H,non,bac,Normandie,oui,0.5580595874713522,,,0.6,0.6193078324225866,,0.35340061606357254
Morgan,Lance,0.5087719298245613,1.911104070656991,0.5428921568627452,F,non,bac,Hauts-de-France,oui,0.6375095492742552,,0.4,0.5,,0.5190110867944494,0.0
Lee,Travis,0.19298245614035092,-0.2663181642292803,0.511029411764706,H,oui,aucun,Hauts-de-France,oui,0.030557677616501147,célibataire,,0.64,0.36247723132969034,,0.0
Mejia,Paul,0.8070175438596491,-0.04142009302037063,0.38602941176470595,F,non,master,Île-de-France,oui,0.3000381970970206,veuf,0.6000000000000001,0.6,,1.0,0.40968711568317084
White,Deborah,0.9999999999999999,0.8581721918152738,0.30637254901960786,H,oui,aucun,Auvergne-Rhône-Alpes,oui,0.4228418640183346,marié,,0.88,0.7905282331511839,1.0,0.10747864657133913
Cox,Hunter,0.36842105263157887,2.0542210250626622,0.6568627450980393,F,oui,bac,Occitanie,oui,0.4360198624904507,veuf,0.2,0.83,0.10382513661202175,0.09359178470936244,0.31268252453006634
Hall,Charles,0.7368421052631579,-0.7570048650487232,0.5931372549019608,F,non,bac,Auvergne-Rhône-Alpes,oui,0.2459893048128342,divorcé,,0.56,0.7759562841530053,0.5190110867944494,0.2566384983628588
Hale,Christopher,0.22807017543859642,1.1341834610262087,0.49264705882352955,H,oui,master,Hauts-de-France,oui,0.40106951871657753,divorcé,1.0,0.98,,0.5190110867944494,0.14457953246330163
Taylor,Stacy,0.14035087719298245,-1.0534614134604698,0.8615196078431373,H,non,doctorat,Occitanie,non,0.4789915966386555,célibataire,0.8,0.05,0.3351548269581056,,0.0
Martinez,David,0.17543859649122806,-1.0023482154584447,0.7757352941176472,F,oui,bac+2,Provence-Alpes-Côte d’Azur,non,0.0,célibataire,0.0,0.4,0.9198542805100182,0.5190110867944494,0.0
Wagner,Daniel,0.05263157894736842,-0.16409176822522992,0.5134803921568627,F,oui,doctorat,Hauts-de-France,oui,0.6101986249045073,marié,,0.17,0.8688524590163934,0.5190110867944494,0.5693693399350012
Spencer,Lisa,0.9122807017543858,0.2959270137929968,0.511029411764706,F,oui,doctorat,Hauts-de-France,oui,0.5355233002291826,marié,,0.28,0.35883424408014564,0.5190110867944494,0.21352020965708512
Adams,Holly,0.42105263157894735,1.6248701618456516,0.35049019607843135,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,0.07582123758594346,célibataire,,0.05,,0.5190110867944494,0.28827317032423827
Frank,Vanessa,0.7719298245614034,1.5021984866407894,0.4644607843137255,F,oui,master,Île-de-France,oui,0.7215431627196334,célibataire,1.0,0.7,0.2823315118397085,1.0,0.7814347811542928
Yoder,Kristine,0.33333333333333337,1.1750740194278295,0.767156862745098,H,non,master,Provence-Alpes-Côte d’Azur,oui,0.49121466768525585,célibataire,,0.56,0.13296903460837883,,0.537560431146954
Estrada,Marcus,0.2807017543859649,0.4594892473994768,0.5649509803921569,H,non,aucun,Occitanie,oui,0.3890374331550802,divorcé,0.0,0.97,,1.0,0.0
Coleman,Diana,0.33333333333333337,-0.6036652710426477,0.5502450980392156,F,non,master,Auvergne-Rhône-Alpes,non,0.768716577540107,veuf,0.4,0.81,0.8397085610200364,0.12933695678314616,0.2670085664698967
Robles,Robert,0.21052631578947367,-0.705891667046698,0.6752450980392157,H,non,master,Bretagne,non,0.15183346065699005,veuf,,0.52,,,0.0
Peterson,Catherine,0.9999999999999999,0.7048325978091983,0.4558823529411766,F,oui,doctorat,Occitanie,non,0.2595492742551566,célibataire,0.8,0.02,,0.09064524662706525,0.0
Holland,Dorothy,0.2807017543859649,1.185296659028234,0.4607843137254902,H,oui,bac+2,Hauts-de-France,oui,0.20359052711993886,célibataire,1.0,0.28,0.2149362477231329,,0.038147683231778654
